sample	status	pages	pairs	overprint	crush	rate	worst_adv_em	worst_page
3021329_[서식 8] 공익신고 사항 처리절차 유의사항(교육부 공익신고 처리 및 신고자 보호 등에 관한 운영지침).hwp	OK	1	105	0	0	0.0	0.884	1
156752673_붙임) 국영문 이력서.hwp	OK	6	475	0	0	0.0	1.0	1
17339423_별지 제1호 서식(농기계 임대차 관리대장)(대구광역시 군위군 농기계 임대사업 운영 조례 시행규칙).hwp	OK	1	65	0	0	0.0	0.87	1
3067611_[별표 2의3] 보호지역의 표지(국립농업과학원 보안업무규정 시행세칙).hwpx	OK	1	8	0	0	0.0	1.0	1
13577369_별지(고창군 마을공방 운영관리 조례).hwp	OK	2	264	0	0	0.0	0.823	1
20120473_별지 제6호서식(괴산군의회 의원 연구단체 구성 및 운영 조례).hwp	OK	1	163	0	0	0.0	0.94	1
21103673_별표 3. 가로수 관리시설물 규격(양주시 도시숲 등의 조성 및 관리 조례).hwp	OK	1	169	0	0	0.0	1.0	1
20208533_[별지 제3호서식] 화장장려금 지급대장(양구군 화장장려 지원조례).hwp	OK	1	46	0	0	0.0	0.9	1
156638890_240701 새만금개발청 생명산업 글로벌 거점대학 양성을 위해 공동 협력기로.hwpx	OK	3	1023	0	0	0.0	0.86	2
1570100-201200014_D0150005-1-000_평가결과서_2011 방송편성백서 및 사안별 편성현황 분석.hwp	OK	1	227	0	0	0.0	0.89	1
156331094_속기자료.hwp	OK	3	839	0	0	0.0	0.85	1
36431892_결재문서본문.hwpx	OK	3	210	0	0	0.0	0.93	2
156584095_230805 세계잼버리 기념 새만금 요트대회 체험행사 성황리에 끝나.hwp	OK	4	550	0	0	0.0	0.921	2
1371000-202500084_D0150022-1-000_【붙임 8】정책연구 윤리 자가점검표_최나야 교수님.hwp	OK	1	763	0	0	0.0	0.92	1
2832185_[별지 21] 기록물평가심의회 회의록(기록물 관리 규정).hwp	OK	1	99	0	0	0.0	0.96	1
1613000-201600122_D0150015-1-001_(점검결과 보고서)국토교통비전 2045 수립을 위한 연구.hwp	OK	1	520	0	0	0.0	0.94	1
36327069_결재문서본문.hwpx	OK	1	142	0	0	0.0	0.9	1
21208741_[별지 제3호서식] 공동주택 지원사업 착수 통보서(전부개정 2025.12.19.)(서울특별시 강남구 공동주택 관리 조례).hwpx	OK	1	29	0	0	0.0	1.0	1
36372243_결재문서본문.hwpx	OK	1	77	0	0	0.0	0.9	1
1220000-201300022_D0150012-1-000_연구계획서(대외경제정책연구원)프리즘등록.hwp	OK	7	1380	0	0	0.0	0.92	2
4070000-201800002_D0150004-1-001_이천시 성과평가보고서(2016년).hwp	NOSVG							
9887485_별지 제5호 서식(서산시 체불임금 없는 관급공사 운영 조례).hwp	OK	1	96	0	0	0.0	0.872	1
156768796_260630(참고) 공정위·중기부, 하도급법 개정에 따른 ‘에너지비용 하도급대금 연동 가이드’ 발간.hwp	OK	2	801	0	0	0.0	0.756	1
15589581_[별지 제38호서식] 구속영장 신청(체포영장)(군사법경찰 수사규칙).hwp	OK	1	313	0	0	0.0	0.919	1
156562995_230417 보도자료(4.19혁명유공자 포상)최종.hwp	OK	4	1243	0	0	0.0	0.784	1
148752860_11.19 인력양성 협력 가이드라인.hwp	OK	6	2941	0	0	0.0	0.84	2
1977967_[서식 11] 세부비목별 내역서(환경위성 탑재체 개발을 위한 출연에 관한 규정).hwp	OK	2	445	0	0	0.0	0.962	2
